,Date_,U/D
0,5 04,0.9186602870813397
1,4 09,0.7475409836065574
2,1 08,0.6824817518248175
3,0 08,0.6653696498054475
4,5 03,0.6553030303030304
5,4 08,0.632
6,3 18,0.6155660377358491
7,4 03,0.5944055944055944
8,0 07,0.5425531914893617
9,3 08,0.5424354243542435
10,0 09,0.5316455696202531
11,1 09,0.5289017341040463
12,2 04,0.5043478260869565
13,2 08,0.5016611295681063
14,4 15,0.46540880503144655
15,3 03,0.45925925925925926
16,2 09,0.45125348189415043
17,2 18,0.43908045977011495
18,4 04,0.43902439024390244
19,4 07,0.4300518134715026
20,1 07,0.42180094786729855
21,3 19,0.41098901098901097
22,3 09,0.40615384615384614
23,4 16,0.39606741573033705
24,1 18,0.381578947368421
25,6 04,0.37931034482758624
26,3 07,0.37628865979381443
27,0 04,0.3709677419354838
28,4 02,0.36040609137055835
29,5 09,0.35751295336787564
30,2 03,0.3524590163934426
31,4 13,0.34437086092715236
32,4 18,0.3355408388520971
33,4 19,0.3346228239845261
34,5 02,0.325077399380805
35,4 14,0.32380952380952377
